"material_no","material_desc_rus","l3_product_category_code","l3_product_category_name"
76006453,"Product description 0050","191110","Category 04"
76006456,"Product description 0051","191111","Category 06"
76006457,"Product description 0052","191111","Category 06"
76006460,"Product description 0053","191110","Category 04"
76006477,"Product description 0054","191111","Category 06"
76006483,"Product description 0055","191110","Category 04"
76006487,"Product description 0056","191110","Category 04"
76006525,"Product description 0057","191110","Category 04"
76006644,"Product description 0058","191110","Category 04"
76006647,"Product description 0059","191110","Category 04"
76006731,"Product description 0060","191110","Category 04"
76006741,"Product description 0061","191123","Category 02"
76006780,"Product description 0062","211224","Category 09"
76006781,"Product description 0063","211224","Category 09"
76007042,"Product description 0064","191110","Category 04"
76007043,"Product description 0065","191110","Category 04"
76007153,"Product description 0066","191110","Category 04"
76007332,"Product description 0067","191110","Category 04"
76007504,"Product description 0068","191110","Category 04"
76008605,"Product description 0069","191110","Category 04"
76008766,"Product description 0070","191110","Category 04"
76008820,"Product description 0071","191110","Category 04"
76008844,"Product description 0072","191110","Category 04"
76009031,"Product description 0073","191110","Category 04"
76009154,"Product description 0074","191020","Category 05"
76009220,"Product description 0075","191020","Category 05"
76009221,"Product description 0076","191020","Category 05"
76009235,"Product description 0077","191020","Category 05"
76009243,"Product description 0078","191020","Category 05"
76009244,"Product description 0079","191020","Category 05"
76009245,"Product description 0080","191020","Category 05"
76009247,"Product description 0081","191020","Category 05"
76009382,"Product description 0082","191110","Category 04"
76009608,"Product description 0083","191123","Category 02"
76009609,"Product description 0084","191020","Category 05"
76009670,"Product description 0085","191020","Category 05"
76010941,"Product description 0086","191110","Category 04"
76011117,"Product description 0087","191110","Category 04"
76011426,"Product description 0088","191110","Category 04"
76011427,"Product description 0089","191110","Category 04"
76011521,"Product description 0090","191110","Category 04"
76011522,"Product description 0091","191110","Category 04"
76011530,"Product description 0092","191110","Category 04"
76011541,"Product description 0093","191110","Category 04"
76011734,"Product description 0094","211224","Category 09"
76011735,"Product description 0095","211224","Category 09"
76012300,"Product description 0096","191110","Category 04"
76012341,"Product description 0097","191110","Category 04"
79000234,"Product description 0098","191110","Category 04"
79000258,"Product description 0099","191110","Category 04"
79000260,"Product description 0100","191110","Category 04"
79000262,"Product description 0101","191110","Category 04"
79000268,"Product description 0102","191110","Category 04"
79000269,"Product description 0103","191110","Category 04"
79000290,"Product description 0104","191110","Category 04"
79000322,"Product description 0105","191111","Category 06"
79000466,"Product description 0106","191111","Category 06"
76018426,"Product description 0107","191017","Category 10"
76013140,"Product description 0108","191017","Category 10"
60000039,"Product description 0109","211224","Category 09"
66000735,"Product description 0110","211224","Category 09"
66000736,"Product description 0111","211224","Category 09"
66000746,"Product description 0112","211224","Category 09"
66000757,"Product description 0113","211224","Category 09"
66000764,"Product description 0114","211224","Category 09"
66000774,"Product description 0115","191013","Category 07"
66000775,"Product description 0116","191013","Category 07"
66000776,"Product description 0117","191013","Category 07"
66000777,"Product description 0118","191018","Category 11"
66000778,"Product description 0119","191018","Category 11"
66000779,"Product description 0120","191018","Category 11"
66000780,"Product description 0121","191018","Category 11"
66000781,"Product description 0122","191013","Category 07"
66000782,"Product description 0123","191013","Category 07"
66000783,"Product description 0124","191013","Category 07"
66000784,"Product description 0125","191013","Category 07"
66000785,"Product description 0126","191013","Category 07"
66000786,"Product description 0127","191018","Category 11"
66000787,"Product description 0128","191018","Category 11"
66000788,"Product description 0129","191123","Category 02"
66000789,"Product description 0130","191123","Category 02"
66000790,"Product description 0131","191123","Category 02"
66000791,"Product description 0132","191123","Category 02"
66000792,"Product description 0133","191123","Category 02"
66000793,"Product description 0134","191123","Category 02"
66000794,"Product description 0135","191123","Category 02"
66000795,"Product description 0136","191123","Category 02"
66000796,"Product description 0137","191110","Category 04"
66000797,"Product description 0138","191110","Category 04"
66000798,"Product description 0139","191110","Category 04"
66000799,"Product description 0140","191110","Category 04"
66000800,"Product description 0141","191110","Category 04"
66000801,"Product description 0142","191110","Category 04"
66000802,"Product description 0143","191110","Category 04"
66000803,"Product description 0144","191110","Category 04"
66000804,"Product description 0145","191110","Category 04"
66000805,"Product description 0146","191110","Category 04"
66000806,"Product description 0147","191110","Category 04"
66000807,"Product description 0148","191110","Category 04"
66000808,"Product description 0149","191110","Category 04"
66000809,"Product description 0150","191110","Category 04"
66000810,"Product description 0151","191110","Category 04"
66000811,"Product description 0152","191110","Category 04"
66000812,"Product description 0153","191110","Category 04"
66000813,"Product description 0154","191110","Category 04"
66000814,"Product description 0155","191110","Category 04"
66000815,"Product description 0156","191110","Category 04"
66000816,"Product description 0157","191110","Category 04"
66000817,"Product description 0158","191110","Category 04"
66000818,"Product description 0159","191110","Category 04"
66000819,"Product description 0160","191110","Category 04"
66000820,"Product description 0161","191123","Category 02"
66000821,"Product description 0162","191123","Category 02"
66000822,"Product description 0163","191111","Category 06"
66000823,"Product description 0164","191111","Category 06"
66000824,"Product description 0165","191013","Category 07"
66000825,"Product description 0166","191013","Category 07"
66000826,"Product description 0167","191013","Category 07"
66000827,"Product description 0168","191018","Category 11"
66000828,"Product description 0169","191018","Category 11"
66000830,"Product description 0170","191018","Category 11"
66000831,"Product description 0171","191018","Category 11"
66000832,"Product description 0172","191018","Category 11"
66000833,"Product description 0173","191018","Category 11"
66000834,"Product description 0174","191018","Category 11"
66000835,"Product description 0175","191018","Category 11"
66000836,"Product description 0176","191018","Category 11"
66000837,"Product description 0177","191018","Category 11"
66000838,"Product description 0178","191018","Category 11"
66000839,"Product description 0179","191018","Category 11"
66000840,"Product description 0180","191018","Category 11"
66000841,"Product description 0181","191018","Category 11"
66000842,"Product description 0182","191013","Category 07"
66000843,"Product description 0183","191018","Category 11"
66000844,"Product description 0184","191018","Category 11"
66000845,"Product description 0185","191018","Category 11"
66000846,"Product description 0186","191014","Category 12"
66000847,"Product description 0187","191018","Category 11"
66000848,"Product description 0188","191014","Category 12"
66000854,"Product description 0189","191018","Category 11"
66000855,"Product description 0190","191018","Category 11"
66000856,"Product description 0191","191018","Category 11"
66000857,"Product description 0192","191018","Category 11"
66000858,"Product description 0193","191018","Category 11"
66000859,"Product description 0194","191018","Category 11"
66000860,"Product description 0195","191018","Category 11"
66000861,"Product description 0196","191018","Category 11"
66000862,"Product description 0197","191018","Category 11"
66000863,"Product description 0198","191018","Category 11"
66000864,"Product description 0199","191018","Category 11"
66000865,"Product description 0200","191013","Category 07"
66000866,"Product description 0201","191013","Category 07"
66000867,"Product description 0202","191018","Category 11"
66000868,"Product description 0203","191018","Category 11"
66000869,"Product description 0204","191017","Category 10"
66000870,"Product description 0205","191018","Category 11"
66000871,"Product description 0206","191018","Category 11"
66000874,"Product description 0207","191111","Category 06"
66000875,"Product description 0208","191111","Category 06"
66000876,"Product description 0209","191111","Category 06"
66000877,"Product description 0210","191111","Category 06"
70048901,"Product description 0211","191123","Category 02"
70071900,"Product description 0212","191121","Category 13"
70072000,"Product description 0213","191121","Category 13"
70144100,"Product description 0214","191123","Category 02"
70144200,"Product description 0215","191123","Category 02"
70144300,"Product description 0216","191123","Category 02"
70144400,"Product description 0217","191123","Category 02"
70146900,"Product description 0218","191123","Category 02"
70148901,"Product description 0219","191116","Category 01"
70149000,"Product description 0220","191116","Category 01"
70149001,"Product description 0221","191116","Category 01"
70156400,"Product description 0222","191123","Category 02"
70156500,"Product description 0223","191123","Category 02"
70158100,"Product description 0224","191119","Category 03"
70158200,"Product description 0225","191119","Category 03"
70158201,"Product description 0226","191119","Category 03"
70158202,"Product description 0227","191119","Category 03"
70158800,"Product description 0228","191119","Category 03"
70158900,"Product description 0229","191119","Category 03"
70159400,"Product description 0230","191119","Category 03"
70161000,"Product description 0231","191123","Category 02"
70161100,"Product description 0232","191123","Category 02"
70163601,"Product description 0233","191123","Category 02"
70163701,"Product description 0234","191123","Category 02"
70163702,"Product description 0235","191123","Category 02"
70164900,"Product description 0236","191123","Category 02"
70165000,"Product description 0237","191123","Category 02"
70165001,"Product description 0238","191123","Category 02"
70165002,"Product description 0239","191123","Category 02"
70165100,"Product description 0240","191123","Category 02"
70165101,"Product description 0241","191123","Category 02"
70165300,"Product description 0242","191123","Category 02"
70168400,"Product description 0243","191123","Category 02"
70172700,"Product description 0244","191123","Category 02"
70172701,"Product description 0245","191123","Category 02"
70172800,"Product description 0246","191123","Category 02"
70172900,"Product description 0247","191123","Category 02"
70173000,"Product description 0248","191123","Category 02"
70173100,"Product description 0249","191123","Category 02"
70173200,"Product description 0250","191123","Category 02"
70173300,"Product description 0251","191123","Category 02"
70173400,"Product description 0252","191123","Category 02"
70173500,"Product description 0253","191123","Category 02"
70173501,"Product description 0254","191123","Category 02"
70173601,"Product description 0255","191123","Category 02"
70173800,"Product description 0256","191123","Category 02"
70173900,"Product description 0257","191123","Category 02"
70173901,"Product description 0258","191123","Category 02"
70182700,"Product description 0259","191119","Category 03"
70183300,"Product description 0260","191119","Category 03"
70183301,"Product description 0261","191119","Category 03"
70183302,"Product description 0262","191119","Category 03"
70211800,"Product description 0263","191123","Category 02"
70215300,"Product description 0264","191119","Category 03"
70232200,"Product description 0265","191121","Category 13"
70232300,"Product description 0266","191121","Category 13"
70232400,"Product description 0267","191121","Category 13"
70258600,"Product description 0268","191119","Category 03"
70269300,"Product description 0269","191123","Category 02"
70269400,"Product description 0270","191123","Category 02"
70339601,"Product description 0271","191119","Category 03"
70339700,"Product description 0272","191119","Category 03"
70339701,"Product description 0273","191119","Category 03"
70339800,"Product description 0274","191119","Category 03"
70339801,"Product description 0275","191119","Category 03"
70339900,"Product description 0276","191119","Category 03"
70339901,"Product description 0277","191119","Category 03"
71003908,"Product description 0278","191017","Category 10"
71017940,"Product description 0279","191025","Category 08"
71018631,"Product description 0280","191025","Category 08"
71018927,"Product description 0281","191025","Category 08"
71093610,"Product description 0282","191025","Category 08"
71094201,"Product description 0283","191018","Category 11"
71094302,"Product description 0284","191018","Category 11"
71108509,"Product description 0285","191017","Category 10"
71168794,"Product description 0286","191018","Category 11"
71168900,"Product description 0287","191018","Category 11"
71168903,"Product description 0288","191018","Category 11"
71169006,"Product description 0289","191018","Category 11"
71169228,"Product description 0290","191018","Category 11"
71180704,"Product description 0291","191018","Category 11"
71218729,"Product description 0292","191018","Category 11"
71228107,"Product description 0293","191018","Category 11"
71272000,"Product description 0294","191013","Category 07"
71354801,"Product description 0295","191013","Category 07"
71418000,"Product description 0296","191018","Category 11"
71418802,"Product description 0297","191018","Category 11"
71431900,"Product description 0298","191013","Category 07"
71432000,"Product description 0299","191014","Category 12"
71432100,"Product description 0300","191015","Category 14"
71447201,"Product description 0301","191017","Category 10"
71447300,"Product description 0302","191017","Category 10"
71449400,"Product description 0303","191022","Category 15"
71449600,"Product description 0304","191017","Category 10"
71449800,"Product description 0305","191017","Category 10"
71451300,"Product description 0306","191011","Category 06"
71453700,"Product description 0307","191013","Category 07"
71479502,"Product description 0308","191013","Category 07"
71516300,"Product description 0309","191013","Category 07"
71580401,"Product description 0310","191013","Category 07"
71580402,"Product description 0311","191013","Category 07"
71580404,"Product description 0312","191013","Category 07"
71580405,"Product description 0313","191013","Category 07"
71580426,"Product description 0314","191013","Category 07"
71580701,"Product description 0315","191013","Category 07"
71580707,"Product description 0316","191013","Category 07"
71580826,"Product description 0317","191013","Category 07"
71581100,"Product description 0318","191013","Category 07"
71581101,"Product description 0319","191013","Category 07"
71581106,"Product description 0320","191013","Category 07"
71581204,"Product description 0321","191013","Category 07"
71581601,"Product description 0322","191013","Category 07"
71581604,"Product description 0323","191013","Category 07"
71581606,"Product description 0324","191013","Category 07"
71581609,"Product description 0325","191013","Category 07"
71581612,"Product description 0326","191013","Category 07"
71581631,"Product description 0327","191013","Category 07"
71581704,"Product description 0328","191013","Category 07"
71581808,"Product description 0329","191013","Category 07"
71581901,"Product description 0330","191013","Category 07"
71582100,"Product description 0331","191013","Category 07"
71589403,"Product description 0332","191018","Category 11"
71633203,"Product description 0333","191018","Category 11"
71633303,"Product description 0334","191018","Category 11"
71633403,"Product description 0335","191018","Category 11"
71633703,"Product description 0336","191018","Category 11"
71654601,"Product description 0337","191015","Category 14"
71737300,"Product description 0338","191018","Category 11"
71737400,"Product description 0339","191018","Category 11"
71737500,"Product description 0340","191018","Category 11"
71737700,"Product description 0341","191018","Category 11"
71737800,"Product description 0342","191018","Category 11"
71738100,"Product description 0343","191018","Category 11"
71738200,"Product description 0344","191018","Category 11"
71754301,"Product description 0345","191018","Category 11"
71786801,"Product description 0346","191018","Category 11"
71796301,"Product description 0347","191112","Category 16"
71796401,"Product description 0348","191112","Category 16"
71826100,"Product description 0349","191018","Category 11"
71828001,"Product description 0350","191022","Category 15"
71842203,"Product description 0351","191018","Category 11"
71842303,"Product description 0352","191018","Category 11"
71842404,"Product description 0353","191018","Category 11"
71842804,"Product description 0354","191018","Category 11"
71842904,"Product description 0355","191018","Category 11"
71849000,"Product description 0356","191017","Category 10"
71849100,"Product description 0357","191017","Category 10"
71849200,"Product description 0358","191017","Category 10"
71855600,"Product description 0359","191015","Category 14"
71855800,"Product description 0360","191015","Category 14"
71860602,"Product description 0361","191018","Category 11"
71864700,"Product description 0362","191018","Category 11"
71864800,"Product description 0363","191018","Category 11"
71864900,"Product description 0364","191018","Category 11"
71873901,"Product description 0365","191013","Category 07"
71880002,"Product description 0366","191013","Category 07"
71885800,"Product description 0367","191018","Category 11"
71902900,"Product description 0368","191017","Category 10"
71903000,"Product description 0369","191017","Category 10"
71903100,"Product description 0370","191017","Category 10"
71909601,"Product description 0371","191018","Category 11"
71910303,"Product description 0372","191017","Category 10"
71918100,"Product description 0373","191018","Category 11"
71918500,"Product description 0374","191013","Category 07"
71933900,"Product description 0375","191018","Category 11"
71933907,"Product description 0376","191018","Category 11"
71934000,"Product description 0377","191018","Category 11"
71934007,"Product description 0378","191018","Category 11"
71934100,"Product description 0379","191018","Category 11"
71934107,"Product description 0380","191018","Category 11"
71935900,"Product description 0381","191017","Category 10"
71936100,"Product description 0382","191017","Category 10"
71936700,"Product description 0383","191017","Category 10"
71937300,"Product description 0384","191018","Category 11"
71937400,"Product description 0385","191018","Category 11"
71937700,"Product description 0386","191018","Category 11"
71937702,"Product description 0387","191018","Category 11"
71937703,"Product description 0388","191018","Category 11"
71938800,"Product description 0389","191013","Category 07"
71943900,"Product description 0390","191011","Category 06"
71944700,"Product description 0391","191013","Category 07"
71944800,"Product description 0392","191015","Category 14"
71956900,"Product description 0393","191018","Category 11"
71957000,"Product description 0394","191018","Category 11"
71960500,"Product description 0395","191018","Category 11"
71997800,"Product description 0396","191014","Category 12"
72157717,"Product description 0397","191013","Category 07"
72157721,"Product description 0398","191013","Category 07"
72158702,"Product description 0399","191013","Category 07"
72158901,"Product description 0400","191018","Category 11"
72159801,"Product description 0401","191013","Category 07"
72160602,"Product description 0402","191014","Category 12"
72161407,"Product description 0403","191018","Category 11"
72161604,"Product description 0404","191018","Category 11"
72166602,"Product description 0405","191018","Category 11"
72167200,"Product description 0406","191013","Category 07"
72167426,"Product description 0407","191013","Category 07"
72167901,"Product description 0408","191014","Category 12"
74000124,"Product description 0409","191013","Category 07"
74000143,"Product description 0410","191013","Category 07"
74000145,"Product description 0411","191013","Category 07"
74000181,"Product description 0412","191018","Category 11"
74000242,"Product description 0413","191013","Category 07"
74000386,"Product description 0414","191022","Category 15"
74000387,"Product description 0415","191022","Category 15"
74000388,"Product description 0416","191022","Category 15"
74000452,"Product description 0417","191018","Category 11"
74000458,"Product description 0418","191018","Category 11"
74000460,"Product description 0419","191018","Category 11"
74000461,"Product description 0420","191018","Category 11"
74000462,"Product description 0421","191018","Category 11"
74000464,"Product description 0422","191018","Category 11"
74000465,"Product description 0423","191018","Category 11"
74000466,"Product description 0424","191018","Category 11"
74000474,"Product description 0425","191018","Category 11"
74000478,"Product description 0426","191018","Category 11"
74000486,"Product description 0427","191018","Category 11"
74000766,"Product description 0428","191011","Category 06"
74000892,"Product description 0429","191013","Category 07"
74001168,"Product description 0430","191018","Category 11"
74001171,"Product description 0431","191018","Category 11"
74001172,"Product description 0432","191018","Category 11"
74001384,"Product description 0433","191013","Category 07"
74001385,"Product description 0434","191015","Category 14"
74001386,"Product description 0435","191014","Category 12"
74001387,"Product description 0436","191018","Category 11"
74001388,"Product description 0437","191015","Category 14"
74001491,"Product description 0438","191014","Category 12"
74001579,"Product description 0439","191013","Category 07"
74001598,"Product description 0440","191018","Category 11"
74001599,"Product description 0441","191018","Category 11"
74001637,"Product description 0442","191014","Category 12"
74001803,"Product description 0443","191018","Category 11"
74001805,"Product description 0444","191018","Category 11"
74001806,"Product description 0445","191018","Category 11"
74001807,"Product description 0446","191018","Category 11"
74001911,"Product description 0447","191018","Category 11"
74001930,"Product description 0448","191013","Category 07"
74001931,"Product description 0449","191013","Category 07"
74001932,"Product description 0450","191013","Category 07"
74001966,"Product description 0451","191013","Category 07"
74002046,"Product description 0452","191018","Category 11"
74002048,"Product description 0453","191018","Category 11"
74002050,"Product description 0454","191018","Category 11"
74002053,"Product description 0455","191018","Category 11"
75980000,"Product description 0456","191119","Category 03"
75980004,"Product description 0457","191013","Category 07"
75980005,"Product description 0458","191018","Category 11"
75980006,"Product description 0459","191013","Category 07"
75980007,"Product description 0460","191013","Category 07"
75980010,"Product description 0461","191018","Category 11"
75980011,"Product description 0462","191013","Category 07"
75980012,"Product description 0463","191013","Category 07"
75980013,"Product description 0464","191013","Category 07"
75980014,"Product description 0465","191013","Category 07"
75980015,"Product description 0466","191018","Category 11"
75980016,"Product description 0467","191018","Category 11"
75980017,"Product description 0468","191018","Category 11"
75980018,"Product description 0469","191018","Category 11"
75980019,"Product description 0470","191018","Category 11"
75980023,"Product description 0471","191018","Category 11"
75980024,"Product description 0472","191014","Category 12"
75980025,"Product description 0473","191014","Category 12"
75980026,"Product description 0474","191014","Category 12"
75980027,"Product description 0475","191013","Category 07"
75980029,"Product description 0476","191018","Category 11"
75980031,"Product description 0477","191014","Category 12"
75980032,"Product description 0478","191018","Category 11"
75980033,"Product description 0479","191013","Category 07"
75980035,"Product description 0480","191013","Category 07"
75980036,"Product description 0481","191018","Category 11"
75980042,"Product description 0482","191123","Category 02"
75980043,"Product description 0483","191123","Category 02"
75980044,"Product description 0484","211224","Category 09"
75980046,"Product description 0485","191014","Category 12"
75980047,"Product description 0486","191014","Category 12"
75980048,"Product description 0487","191014","Category 12"
75980049,"Product description 0488","191014","Category 12"
75980054,"Product description 0489","191013","Category 07"
75980055,"Product description 0490","211224","Category 09"
75980057,"Product description 0491","191018","Category 11"
75980059,"Product description 0492","191018","Category 11"
75980061,"Product description 0493","191018","Category 11"
75980062,"Product description 0494","191018","Category 11"
75980063,"Product description 0495","211224","Category 09"
75980064,"Product description 0496","191018","Category 11"
75980065,"Product description 0497","191018","Category 11"
75980066,"Product description 0498","191018","Category 11"
75980067,"Product description 0499","191018","Category 11"
75980068,"Product description 0500","191015","Category 14"
75980069,"Product description 0501","191123","Category 02"
75980072,"Product description 0502","191110","Category 04"
75980073,"Product description 0503","191013","Category 07"
75980074,"Product description 0504","191013","Category 07"
75980075,"Product description 0505","191013","Category 07"
75980076,"Product description 0506","191013","Category 07"
75980077,"Product description 0507","191013","Category 07"
75980078,"Product description 0508","191013","Category 07"
75980079,"Product description 0509","191013","Category 07"
75980080,"Product description 0510","191013","Category 07"
75980081,"Product description 0511","191013","Category 07"
75980082,"Product description 0512","211224","Category 09"
75980083,"Product description 0513","211224","Category 09"
75980084,"Product description 0514","211224","Category 09"
75980085,"Product description 0515","191013","Category 07"
75980086,"Product description 0516","211224","Category 09"
75980087,"Product description 0517","211224","Category 09"
75980088,"Product description 0518","211224","Category 09"
75980089,"Product description 0519","211224","Category 09"
75980090,"Product description 0520","211224","Category 09"
75980091,"Product description 0521","211224","Category 09"
75980092,"Product description 0522","211224","Category 09"
75980093,"Product description 0523","211224","Category 09"
75980094,"Product description 0524","211224","Category 09"
75980095,"Product description 0525","211224","Category 09"
75980098,"Product description 0526","211224","Category 09"
75980099,"Product description 0527","211224","Category 09"
75980100,"Product description 0528","211224","Category 09"
75980101,"Product description 0529","211224","Category 09"
75980102,"Product description 0530","211224","Category 09"
75980103,"Product description 0531","211224","Category 09"
75980104,"Product description 0532","211224","Category 09"
75980105,"Product description 0533","211224","Category 09"
75980106,"Product description 0534","211224","Category 09"
75980107,"Product description 0535","211224","Category 09"
75980108,"Product description 0536","211224","Category 09"
75980109,"Product description 0537","211224","Category 09"
75980110,"Product description 0538","211224","Category 09"
75980111,"Product description 0539","211224","Category 09"
75980112,"Product description 0540","211224","Category 09"
75980113,"Product description 0541","211224","Category 09"
75980114,"Product description 0542","211224","Category 09"
75980115,"Product description 0543","211224","Category 09"
75980116,"Product description 0544","211224","Category 09"
75980117,"Product description 0545","211224","Category 09"
75980118,"Product description 0546","211224","Category 09"
75980119,"Product description 0547","211224","Category 09"
75980120,"Product description 0548","211224","Category 09"
75980121,"Product description 0549","211224","Category 09"
75980122,"Product description 0550","211224","Category 09"
75980123,"Product description 0551","211224","Category 09"
75980124,"Product description 0552","211224","Category 09"
75980125,"Product description 0553","211224","Category 09"
75980126,"Product description 0554","211224","Category 09"
75980127,"Product description 0555","211224","Category 09"
75980128,"Product description 0556","211224","Category 09"
75980129,"Product description 0557","211224","Category 09"
75980130,"Product description 0558","211224","Category 09"
75980131,"Product description 0559","211224","Category 09"
75980132,"Product description 0560","211224","Category 09"
75980133,"Product description 0561","211224","Category 09"
75980134,"Product description 0562","211224","Category 09"
75980135,"Product description 0563","211224","Category 09"
75980136,"Product description 0564","211224","Category 09"
75980138,"Product description 0565","211224","Category 09"
75980139,"Product description 0566","211224","Category 09"
75980140,"Product description 0567","211224","Category 09"
75980141,"Product description 0568","211224","Category 09"
75980142,"Product description 0569","211224","Category 09"
75980143,"Product description 0570","211224","Category 09"
75980144,"Product description 0571","211224","Category 09"
75980145,"Product description 0572","211224","Category 09"
75980146,"Product description 0573","211224","Category 09"
75980147,"Product description 0574","211224","Category 09"
75980148,"Product description 0575","211224","Category 09"
75980149,"Product description 0576","211224","Category 09"
75980150,"Product description 0577","211224","Category 09"
75980151,"Product description 0578","211224","Category 09"
75980152,"Product description 0579","211224","Category 09"
75980153,"Product description 0580","211224","Category 09"
75980154,"Product description 0581","211224","Category 09"
75980155,"Product description 0582","211224","Category 09"
75980156,"Product description 0583","211224","Category 09"
75980157,"Product description 0584","211224","Category 09"
75980158,"Product description 0585","211224","Category 09"
75980159,"Product description 0586","211224","Category 09"
75980160,"Product description 0587","211224","Category 09"
75980161,"Product description 0588","211224","Category 09"
75980162,"Product description 0589","211224","Category 09"
75980163,"Product description 0590","211224","Category 09"
75980164,"Product description 0591","211224","Category 09"
75980165,"Product description 0592","211224","Category 09"
75980166,"Product description 0593","211224","Category 09"
75980167,"Product description 0594","211224","Category 09"
75980168,"Product description 0595","211224","Category 09"
75980169,"Product description 0596","211224","Category 09"
75980170,"Product description 0597","211224","Category 09"
75980171,"Product description 0598","211224","Category 09"
75980172,"Product description 0599","211224","Category 09"
75980173,"Product description 0600","211224","Category 09"
75980174,"Product description 0601","211224","Category 09"
75980175,"Product description 0602","211224","Category 09"
75980176,"Product description 0603","211224","Category 09"
75980179,"Product description 0604","191018","Category 11"
75980180,"Product description 0605","191018","Category 11"
75980182,"Product description 0606","191018","Category 11"
75980183,"Product description 0607","191018","Category 11"
75980184,"Product description 0608","191018","Category 11"
75980185,"Product description 0609","191018","Category 11"
75980186,"Product description 0610","191018","Category 11"
75980187,"Product description 0611","191018","Category 11"
75980188,"Product description 0612","191013","Category 07"
75980190,"Product description 0613","191014","Category 12"
75980191,"Product description 0614","211224","Category 09"
75980192,"Product description 0615","211224","Category 09"
75980193,"Product description 0616","211224","Category 09"
75980194,"Product description 0617","211224","Category 09"
75980195,"Product description 0618","211224","Category 09"
75980196,"Product description 0619","211224","Category 09"
75980197,"Product description 0620","211224","Category 09"
75980198,"Product description 0621","211224","Category 09"
75980201,"Product description 0622","191013","Category 07"
75980202,"Product description 0623","191018","Category 11"
75980203,"Product description 0624","191018","Category 11"
75980204,"Product description 0625","191018","Category 11"
75980205,"Product description 0626","191018","Category 11"
75980206,"Product description 0627","191018","Category 11"
75980207,"Product description 0628","191018","Category 11"
75980208,"Product description 0629","191018","Category 11"
75980209,"Product description 0630","191018","Category 11"
75980210,"Product description 0631","191018","Category 11"
75980211,"Product description 0632","191018","Category 11"
75980212,"Product description 0633","191018","Category 11"
75980213,"Product description 0634","191018","Category 11"
75980214,"Product description 0635","191013","Category 07"
75980215,"Product description 0636","191013","Category 07"
75980216,"Product description 0637","191013","Category 07"
75980217,"Product description 0638","191018","Category 11"
75980218,"Product description 0639","191018","Category 11"
75980219,"Product description 0640","191018","Category 11"
75980220,"Product description 0641","191018","Category 11"
75980221,"Product description 0642","191018","Category 11"
75980222,"Product description 0643","191111","Category 06"
75980223,"Product description 0644","191111","Category 06"
75980224,"Product description 0645","191111","Category 06"
75980225,"Product description 0646","191111","Category 06"
75980226,"Product description 0647","191111","Category 06"
75980227,"Product description 0648","191018","Category 11"
75980228,"Product description 0649","191013","Category 07"
75980229,"Product description 0650","191018","Category 11"
75980230,"Product description 0651","191013","Category 07"
75980231,"Product description 0652","191013","Category 07"
75980233,"Product description 0653","191110","Category 04"
75980234,"Product description 0654","191025","Category 08"
75980235,"Product description 0655","191025","Category 08"
75980236,"Product description 0656","191025","Category 08"
75980237,"Product description 0657","191025","Category 08"
75980238,"Product description 0658","191018","Category 11"
75980240,"Product description 0659","191013","Category 07"
75980241,"Product description 0660","191013","Category 07"
75980242,"Product description 0661","191017","Category 10"
75980243,"Product description 0662","191017","Category 10"
75980244,"Product description 0663","191017","Category 10"
